id,bm,em,em2,tm
0,1,Мн,М1,До,1
1,2,Мз,М7,До,1
2,3,М1,М203,До,1
3,4,М1,М11,До,1
4,5,М1,М13,До,1
5,6,М3,М1,За,1
6,7,М5,М1,За,1
7,8,М5,М7,За,1
8,9,М7,М203,До,1
9,10,М7,М11,До,1
10,11,М9,М5,До,1
11,12,М11,М9,За,1
12,13,М11,М15,За,1
13,14,М11,М17,За,1
14,15,М11,М23,До,1
15,16,М11,М25,До,1
16,17,М11,М105,До,1
17,18,М11,М109,До,1
18,19,М13,М25,До,1
19,20,М13,М67,До,1
20,21,М13,М105,До,1
21,22,М13,М109,До,1
22,23,М15,М5,До,1
23,24,М17,М5,До,1
24,25,М19,М5,До,1
25,26,М21,М3,До,1
26,27,М21,М5,До,1
27,28,М23,М29,До,1
28,29,М23,М63,До,1
29,30,М25,М29,До,1
30,31,М27,М19,До,1
31,32,М27,М21,До,1
32,33,М29,М39,До,1
33,34,М29,М63,До,1
34,35,М29,М33,На,1
35,36,М29,М100,До,1
36,37,М33,М27,До,1
37,38,М35,М19,До,1
38,39,М35,М27,До,1
39,40,М37,М27,До,1
40,41,М39,М45,За,1
41,42,М39,М47,За,1
42,43,М39,М49,За,1
43,44,М41,М19,До,1
44,45,М41,М27,До,1
45,46,М43,М19,До,1
46,47,М43,М27,До,1
47,48,М45,М27,До,1
48,49,М47,М27,До,1
49,50,М49,М27,До,1
50,51,М51,М57,До,1
51,52,М53,М57,До,1
52,53,М55,М41,До,1
53,54,М55,М51,За,1
54,55,М57,М61,На,1
55,56,М57,М59,За,1
56,57,М59,М55,До,1
57,58,М61,М55,До,1
58,59,М63,М53,До,1
59,60,М63,М43,На,1
60,61,М63,М35,На,1
61,62,М65,М3,До,1
62,63,М67,М97,За,1
63,64,М67,М105,До,1
64,65,М69,М3,До,1
65,66,М69,М5,До,1
66,67,М97,М107,До,1
67,68,М101,М103,До,1
68,69,М103,М3,До,1
69,70,М103,М5,До,1
70,71,М103,М65,До,1
71,72,М105,Ч101,На,1
72,73,М105,Ч102,На,1
73,74,М105,Ч103,На,1
74,75,М105,Ч104,На,1
